
Assets.............
Walk-Forward Test: Z1 portfolio 2010..2016
Read Z12.fac
Read Z12_1.par
Read Z12_2.par
Read Z12_3.par
Read Z12_4.par
Read Z12_5.par
Read Z12_6.par
Read Z12_7.par
Read Z12_8.par
Read Z12_9.par
Read Z12_10.par
[4808: Fri 01.02.13 12:00]  4: 04808
[4809: Fri 01.02.13 16:00]  4: 04809
[4810: Sun 03.02.13 20:00]  4: 04810
[4811: Mon 04.02.13 00:00]  4: 04811
[4812: Mon 04.02.13 04:00]  4: 04812
[4813: Mon 04.02.13 08:00]  4: 04813
[4814: Mon 04.02.13 12:00]  4: 04814
[4815: Mon 04.02.13 16:00]  4: 04815
[4816: Mon 04.02.13 20:00]  4: 04816
[4817: Tue 05.02.13 00:00]  4: 04817
[4818: Tue 05.02.13 04:00]  4: 04818
[4819: Tue 05.02.13 08:00]  4: 04819
[4820: Tue 05.02.13 12:00]  4: 04820
[4821: Tue 05.02.13 16:00]  4: 04821
[4822: Tue 05.02.13 20:00]  4: 04822
[4823: Wed 06.02.13 00:00]  4: 04823
[4824: Wed 06.02.13 04:00]  4: 04824
[4825: Wed 06.02.13 08:00]  4: 04825
[4826: Wed 06.02.13 12:00]  4: 04826
[4827: Wed 06.02.13 16:00]  4: 04827
[4828: Wed 06.02.13 20:00]  4: 04828
[4829: Thu 07.02.13 00:00]  4: 04829
[4830: Thu 07.02.13 04:00]  4: 04830
[4831: Thu 07.02.13 08:00]  4: 04831
[4832: Thu 07.02.13 12:00]  4: 04832
[4833: Thu 07.02.13 16:00]  4: 04833
[4834: Thu 07.02.13 20:00]  4: 04834
[4835: Fri 08.02.13 00:00]  4: 04835
[4836: Fri 08.02.13 04:00]  4: 04836
[4837: Fri 08.02.13 08:00]  4: 04837
[4838: Fri 08.02.13 12:00]  4: 04838
[4839: Fri 08.02.13 16:00]  4: 04839
[4840: Sun 10.02.13 20:00]  4: 04840
[4841: Mon 11.02.13 00:00]  4: 04841
[4842: Mon 11.02.13 04:00]  4: 04842
[4843: Mon 11.02.13 08:00]  4: 04843
[4844: Mon 11.02.13 12:00]  4: 04844
[4845: Mon 11.02.13 16:00]  4: 04845
[4846: Mon 11.02.13 20:00]  4: 04846
[4847: Tue 12.02.13 00:00]  4: 04847
[4848: Tue 12.02.13 04:00]  4: 04848
[4849: Tue 12.02.13 08:00]  4: 04849
[4850: Tue 12.02.13 12:00]  4: 04850
[4851: Tue 12.02.13 16:00]  4: 04851
[4852: Tue 12.02.13 20:00]  4: 04852
[4853: Wed 13.02.13 00:00]  4: 04853
[4854: Wed 13.02.13 04:00]  4: 04854
[4855: Wed 13.02.13 08:00]  4: 04855
[4856: Wed 13.02.13 12:00]  4: 04856
[4857: Wed 13.02.13 16:00]  4: 04857
[4858: Wed 13.02.13 20:00]  4: 04858
[4859: Thu 14.02.13 00:00]  4: 04859
[4860: Thu 14.02.13 04:00]  4: 04860
[4861: Thu 14.02.13 08:00]  4: 04861
[4862: Thu 14.02.13 12:00]  4: 04862
[4863: Thu 14.02.13 16:00]  4: 04863
[4864: Thu 14.02.13 20:00]  4: 04864
[4865: Fri 15.02.13 00:00]  4: 04865
[4866: Fri 15.02.13 04:00]  4: 04866
[4867: Fri 15.02.13 08:00]  4: 04867
[4868: Fri 15.02.13 12:00]  4: 04868
[4869: Fri 15.02.13 16:00]  4: 04869
[4870: Sun 17.02.13 20:00]  4: 04870
[4871: Mon 18.02.13 00:00]  4: 04871
[4872: Mon 18.02.13 04:00]  4: 04872
[4873: Mon 18.02.13 08:00]  4: 04873
[4874: Mon 18.02.13 12:00]  4: 04874
[4875: Mon 18.02.13 16:00]  4: 04875
[4876: Mon 18.02.13 20:00]  4: 04876
[4877: Tue 19.02.13 00:00]  4: 04877
[4878: Tue 19.02.13 04:00]  4: 04878
[4879: Tue 19.02.13 08:00]  4: 04879
[4880: Tue 19.02.13 12:00]  4: 04880
[4881: Tue 19.02.13 16:00]  4: 04881
[4882: Tue 19.02.13 20:00]  4: 04882
[4883: Wed 20.02.13 00:00]  4: 04883
[4884: Wed 20.02.13 04:00]  4: 04884
[4885: Wed 20.02.13 08:00]  4: 04885
[4886: Wed 20.02.13 12:00]  4: 04886
[4887: Wed 20.02.13 16:00]  4: 04887
[4888: Wed 20.02.13 20:00]  4: 04888
[4889: Thu 21.02.13 00:00]  4: 04889
[4890: Thu 21.02.13 04:00]  4: 04890
[4891: Thu 21.02.13 08:00]  4: 04891
[4892: Thu 21.02.13 12:00]  4: 04892
[4893: Thu 21.02.13 16:00]  4: 04893
[4894: Thu 21.02.13 20:00]  4: 04894
[4895: Fri 22.02.13 00:00]  4: 04895
[4896: Fri 22.02.13 04:00]  4: 04896
[4897: Fri 22.02.13 08:00]  4: 04897
[4898: Fri 22.02.13 12:00]  4: 04898
[4899: Fri 22.02.13 16:00]  4: 04899
[4900: Sun 24.02.13 20:00]  4: 04900
[4901: Mon 25.02.13 00:00]  4: 04901
[4902: Mon 25.02.13 04:00]  4: 04902
[4903: Mon 25.02.13 08:00]  4: 04903
[4904: Mon 25.02.13 12:00]  4: 04904
[4905: Mon 25.02.13 16:00]  4: 04905
[4906: Mon 25.02.13 20:00]  4: 04906
[4907: Tue 26.02.13 00:00]  4: 04907
[4908: Tue 26.02.13 04:00]  4: 04908
